n=2 k=14 degree 21: 22 rows, rank 105, open orders 0
series n=2 k=14 (below, 0.0s): delta [21, 22, 22, 23, 23, 24, 24, 25, 25, 26, 26, 27, 27, 28] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
n=2 k=15 degree 30: 15 rows, rank 15, open orders 14
n=2 k=15 degree 29: 30 rows, rank 42, open orders 12
n=2 k=15 degree 28: 29 rows, rank 65, open orders 10
n=2 k=15 degree 27: 28 rows, rank 84, open orders 8
n=2 k=15 degree 26: 27 rows, rank 99, open orders 6
n=2 k=15 degree 25: 26 rows, rank 110, open orders 4
n=2 k=15 degree 24: 25 rows, rank 117, open orders 2
n=2 k=15 degree 23: 24 rows, rank 120, open orders 0
series n=2 k=15 (below, 0.0s): delta [23, 23, 24, 24, 25, 25, 26, 26, 27, 27, 28, 28, 29, 29, 30] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
n=2 k=16 degree 32: 16 rows, rank 16, open orders 15
n=2 k=16 degree 31: 32 rows, rank 45, open orders 13
n=2 k=16 degree 30: 31 rows, rank 70, open orders 11
n=2 k=16 degree 29: 30 rows, rank 91, open orders 9
n=2 k=16 degree 28: 29 rows, rank 108, open orders 7
n=2 k=16 degree 27: 28 rows, rank 121, open orders 5
n=2 k=16 degree 26: 27 rows, rank 130, open orders 3
n=2 k=16 degree 25: 26 rows, rank 135, open orders 1
n=2 k=16 degree 24: 25 rows, rank 136, open orders 0
series n=2 k=16 (below, 0.0s): delta [24, 25, 25, 26, 26, 27, 27, 28, 28, 29, 29, 30, 30, 31, 31, 32] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
n=3 k=1 degree 3: 1 rows, rank 1, open orders 0
series n=3 k=1 (above, 0.0s): delta [3] formula-mismatch orders []
n=3 k=2 degree 5: 3 rows, rank 3, open orders 1
n=3 k=2 degree 4: 9 rows, rank 4, open orders 0
series n=3 k=2 (base, 0.0s): delta [4, 5] formula-mismatch orders []
n=3 k=3 degree 7: 6 rows, rank 6, open orders 2
n=3 k=3 degree 6: 18 rows, rank 10, open orders 0
series n=3 k=3 (base, 0.0s): delta [6, 6, 7] formula-mismatch orders []
n=3 k=4 degree 9: 10 rows, rank 10, open orders 3
n=3 k=4 degree 8: 30 rows, rank 19, open orders 1
n=3 k=4 degree 7: 36 rows, rank 20, open orders 0
series n=3 k=4 (below, 0.0s): delta [7, 8, 8, 9] formula-mismatch orders []
n=3 k=5 degree 11: 15 rows, rank 15, open orders 4
n=3 k=5 degree 10: 45 rows, rank 32, open orders 1
n=3 k=5 degree 9: 55 rows, rank 35, open orders 0
series n=3 k=5 (below, 0.0s): delta [10, 9, 10, 10, 11] formula-mismatch orders []
n=3 k=6 degree 13: 21 rows, rank 21, open orders 5
n=3 k=6 degree 12: 63 rows, rank 49, open orders 2
n=3 k=6 degree 11: 78 rows, rank 56, open orders 0
series n=3 k=6 (below, 0.0s): delta [11, 12, 11, 12, 12, 13] formula-mismatch orders []
n=3 k=7 degree 15: 28 rows, rank 28, open orders 6
n=3 k=7 degree 14: 84 rows, rank 70, open orders 3
n=3 k=7 degree 13: 105 rows, rank 84, open orders 0
series n=3 k=7 (below, 0.0s): delta [13, 13, 14, 13, 14, 14, 15] formula-mismatch orders []
n=3 k=8 degree 17: 36 rows, rank 36, open orders 7
n=3 k=8 degree 16: 108 rows, rank 95, open orders 4
n=3 k=8 degree 15: 136 rows, rank 119, open orders 1
n=3 k=8 degree 14: 120 rows, rank 120, open orders 0
series n=3 k=8 (below, 0.0s): delta [14, 15, 15, 16, 15, 16, 16, 17] formula-mismatch orders []
n=3 k=9 degree 19: 45 rows, rank 45, open orders 8
n=3 k=9 degree 18: 135 rows, rank 124, open orders 5
n=3 k=9 degree 17: 171 rows, rank 162, open orders 1
n=3 k=9 degree 16: 153 rows, rank 165, open orders 0
series n=3 k=9 (below, 0.0s): delta [17, 16, 17, 17, 18, 17, 18, 18, 19] formula-mismatch orders [0]
n=3 k=10 degree 21: 55 rows, rank 55, open orders 9
n=3 k=10 degree 20: 165 rows, rank 157, open orders 6
n=3 k=10 degree 19: 210 rows, rank 213, open orders 2
n=3 k=10 degree 18: 190 rows, rank 220, open orders 0
series n=3 k=10 (below, 0.0s): delta [18, 19, 18, 19, 19, 20, 19, 20, 20, 21] formula-mismatch orders [0, 1]
n=3 k=11 degree 23: 66 rows, rank 66, open orders 10
n=3 k=11 degree 22: 198 rows, rank 194, open orders 7
n=3 k=11 degree 21: 253 rows, rank 272, open orders 3
n=3 k=11 degree 20: 231 rows, rank 286, open orders 0
series n=3 k=11 (below, 0.0s): delta [20, 20, 21, 20, 21, 21, 22, 21, 22, 22, 23] formula-mismatch orders [0, 1, 2]
n=3 k=12 degree 25: 78 rows, rank 78, open orders 11
n=3 k=12 degree 24: 234 rows, rank 235, open orders 8
n=3 k=12 degree 23: 300 rows, rank 339, open orders 4
n=3 k=12 degree 22: 276 rows, rank 363, open orders 1
n=3 k=12 degree 21: 253 rows, rank 364, open orders 0
series n=3 k=12 (below, 0.0s): delta [21, 22, 22, 23, 22, 23, 23, 24, 23, 24, 24, 25] formula-mismatch orders [0, 1, 2, 3]
n=3 k=13 degree 27: 91 rows, rank 91, open orders 12
n=3 k=13 degree 26: 273 rows, rank 280, open orders 9
n=3 k=13 degree 25: 351 rows, rank 414, open orders 5
n=3 k=13 degree 24: 325 rows, rank 452, open orders 1
n=3 k=13 degree 23: 300 rows, rank 455, open orders 0
series n=3 k=13 (below, 0.0s): delta [24, 23, 24, 24, 25, 24, 25, 25, 26, 25, 26, 26, 27] formula-mismatch orders [0, 1, 2, 3, 4]
n=3 k=14 degree 29: 105 rows, rank 105, open orders 13
n=3 k=14 degree 28: 315 rows, rank 329, open orders 10
n=3 k=14 degree 27: 406 rows, rank 497, open orders 6
n=3 k=14 degree 26: 378 rows, rank 553, open orders 2
n=3 k=14 degree 25: 351 rows, rank 560, open orders 0
series n=3 k=14 (below, 0.0s): delta [25, 26, 25, 26, 26, 27, 26, 27, 27, 28, 27, 28, 28, 29] formula-mismatch orders [0, 1, 2, 3, 4, 5]
n=3 k=15 degree 31: 120 rows, rank 120, open orders 14
n=3 k=15 degree 30: 360 rows, rank 382, open orders 11
n=3 k=15 degree 29: 465 rows, rank 588, open orders 7
n=3 k=15 degree 28: 435 rows, rank 666, open orders 3
n=3 k=15 degree 27: 406 rows, rank 680, open orders 0
series n=3 k=15 (below, 0.0s): delta [27, 27, 28, 27, 28, 28, 29, 28, 29, 29, 30, 29, 30, 30, 31] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6]
n=3 k=16 degree 33: 136 rows, rank 136, open orders 15
n=3 k=16 degree 32: 408 rows, rank 439, open orders 12
n=3 k=16 degree 31: 528 rows, rank 687, open orders 8
n=3 k=16 degree 30: 496 rows, rank 791, open orders 4
n=3 k=16 degree 29: 465 rows, rank 815, open orders 1
n=3 k=16 degree 28: 435 rows, rank 816, open orders 0
series n=3 k=16 (below, 0.0s): delta [28, 29, 29, 30, 29, 30, 30, 31, 30, 31, 31, 32, 31, 32, 32, 33] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7]
n=4 k=1 degree 4: 1 rows, rank 1, open orders 0
series n=4 k=1 (above, 0.0s): delta [4] formula-mismatch orders []
n=4 k=2 degree 6: 4 rows, rank 4, open orders 1
n=4 k=2 degree 5: 16 rows, rank 5, open orders 0
series n=4 k=2 (above, 0.0s): delta [5, 6] formula-mismatch orders []
n=4 k=3 degree 8: 10 rows, rank 10, open orders 2
n=4 k=3 degree 7: 40 rows, rank 15, open orders 0
series n=4 k=3 (above, 0.0s): delta [7, 7, 8] formula-mismatch orders []
n=4 k=4 degree 10: 20 rows, rank 20, open orders 3
n=4 k=4 degree 9: 80 rows, rank 34, open orders 1
n=4 k=4 degree 8: 130 rows, rank 35, open orders 0
series n=4 k=4 (base, 0.0s): delta [8, 9, 9, 10] formula-mismatch orders []
n=4 k=5 degree 12: 35 rows, rank 35, open orders 4
n=4 k=5 degree 11: 140 rows, rank 66, open orders 1
n=4 k=5 degree 10: 230 rows, rank 70, open orders 0
series n=4 k=5 (base, 0.0s): delta [11, 10, 11, 11, 12] formula-mismatch orders []
n=4 k=6 degree 14: 56 rows, rank 56, open orders 5
n=4 k=6 degree 13: 224 rows, rank 115, open orders 2
n=4 k=6 degree 12: 371 rows, rank 126, open orders 0
series n=4 k=6 (base, 0.0s): delta [12, 13, 12, 13, 13, 14] formula-mismatch orders []
n=4 k=7 degree 16: 84 rows, rank 84, open orders 6
n=4 k=7 degree 15: 336 rows, rank 185, open orders 3
n=4 k=7 degree 14: 560 rows, rank 210, open orders 0
series n=4 k=7 (base, 0.0s): delta [14, 14, 15, 14, 15, 15, 16] formula-mismatch orders []
n=4 k=8 degree 18: 120 rows, rank 120, open orders 7
n=4 k=8 degree 17: 480 rows, rank 280, open orders 4
n=4 k=8 degree 16: 804 rows, rank 329, open orders 1
n=4 k=8 degree 15: 816 rows, rank 330, open orders 0
series n=4 k=8 (below, 0.0s): delta [15, 16, 16, 17, 16, 17, 17, 18] formula-mismatch orders []
n=4 k=9 degree 20: 165 rows, rank 165, open orders 8
n=4 k=9 degree 19: 660 rows, rank 405, open orders 4
n=4 k=9 degree 18: 1110 rows, rank 491, open orders 1
n=4 k=9 degree 17: 1140 rows, rank 495, open orders 0
series n=4 k=9 (below, 0.0s): delta [19, 17, 18, 18, 19, 18, 19, 19, 20] formula-mismatch orders []
n=4 k=10 degree 22: 220 rows, rank 220, open orders 9
n=4 k=10 degree 21: 880 rows, rank 565, open orders 5
n=4 k=10 degree 20: 1485 rows, rank 705, open orders 1
n=4 k=10 degree 19: 1540 rows, rank 715, open orders 0
series n=4 k=10 (below, 0.0s): delta [20, 21, 19, 20, 20, 21, 20, 21, 21, 22] formula-mismatch orders []
n=4 k=11 degree 24: 286 rows, rank 286, open orders 10
n=4 k=11 degree 23: 1144 rows, rank 765, open orders 6
n=4 k=11 degree 22: 1936 rows, rank 981, open orders 1
n=4 k=11 degree 21: 2024 rows, rank 1001, open orders 0
series n=4 k=11 (below, 0.0s): delta [22, 22, 23, 21, 22, 22, 23, 22, 23, 23, 24] formula-mismatch orders []
n=4 k=12 degree 26: 364 rows, rank 364, open orders 11
n=4 k=12 degree 25: 1456 rows, rank 1010, open orders 7
n=4 k=12 degree 24: 2470 rows, rank 1329, open orders 2
n=4 k=12 degree 23: 2600 rows, rank 1365, open orders 0
series n=4 k=12 (below, 0.0s): delta [23, 24, 24, 25, 23, 24, 24, 25, 24, 25, 25, 26] formula-mismatch orders []
n=4 k=13 degree 28: 455 rows, rank 455, open orders 12
n=4 k=13 degree 27: 1820 rows, rank 1305, open orders 8
n=4 k=13 degree 26: 3094 rows, rank 1760, open orders 2
n=4 k=13 degree 25: 3276 rows, rank 1820, open orders 0
series n=4 k=13 (below, 0.0s): delta [26, 25, 26, 26, 27, 25, 26, 26, 27, 26, 27, 27, 28] formula-mismatch orders []
n=4 k=14 degree 30: 560 rows, rank 560, open orders 13
n=4 k=14 degree 29: 2240 rows, rank 1655, open orders 9
n=4 k=14 degree 28: 3815 rows, rank 2285, open orders 3
n=4 k=14 degree 27: 4060 rows, rank 2380, open orders 0
series n=4 k=14 (below, 0.0s): delta [27, 28, 27, 28, 28, 29, 27, 28, 28, 29, 28, 29, 29, 30] formula-mismatch orders []
n=4 k=15 degree 32: 680 rows, rank 680, open orders 14
n=4 k=15 degree 31: 2720 rows, rank 2065, open orders 10
n=4 k=15 degree 30: 4640 rows, rank 2915, open orders 4
n=4 k=15 degree 29: 4960 rows, rank 3060, open orders 0
series n=4 k=15 (below, 0.0s): delta [29, 29, 30, 29, 30, 30, 31, 29, 30, 30, 31, 30, 31, 31, 32] formula-mismatch orders []
n=4 k=16 degree 34: 816 rows, rank 816, open orders 15
n=4 k=16 degree 33: 3264 rows, rank 2540, open orders 11
