n=2 nu=3,1,3,0 N=11: deg 42 (homogeneous 42) a1:12 a2:18 a1-a2:6 | rest 6, deg gcd(R,R')=0, factors: 6^1 | SQUAREFREE
n=2 nu=3,1,3,1 N=12: deg 52 (homogeneous 52) a1:16 a2:20 a1-a2:10 | rest 6, deg gcd(R,R')=0, factors: 1^1 1^1 2^1 2^1 | SQUAREFREE
n=2 nu=3,2,-1,-1 N=7: deg 12 (homogeneous 12) a1:12 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,2,0,-1 N=8: deg 19 (homogeneous 19) a1:12 a2:4 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=3,2,0,0 N=9: deg 27 (homogeneous 27) a1:13 a2:7 a1-a2:3 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=3,2,1,-1 N=9: deg 26 (homogeneous 26) a1:12 a2:8 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=3,2,1,0 N=10: deg 35 (homogeneous 35) a1:14 a2:11 a1-a2:6 | rest 4, deg gcd(R,R')=0, factors: 4^1 | SQUAREFREE
n=2 nu=3,2,1,1 N=11: deg 44 (homogeneous 44) a1:16 a2:14 a1-a2:10 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=3,2,2,-1 N=10: deg 33 (homogeneous 33) a1:12 a2:12 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,2,2,0 N=11: deg 43 (homogeneous 43) a1:15 a2:15 a1-a2:11 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=3,2,2,1 N=12: deg 53 (homogeneous 53) a1:18 a2:18 a1-a2:15 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=3,2,2,2 N=13: deg 63 (homogeneous 63) a1:21 a2:21 a1-a2:21 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,2,3,-1 N=11: deg 40 (homogeneous 40) a1:12 a2:16 a1-a2:9 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=3,2,3,0 N=12: deg 51 (homogeneous 51) a1:16 a2:19 a1-a2:11 | rest 5, deg gcd(R,R')=0, factors: 1^1 2^1 2^1 | SQUAREFREE
n=2 nu=3,2,3,1 N=13: deg 62 (homogeneous 62) a1:20 a2:22 a1-a2:15 | rest 5, deg gcd(R,R')=0, factors: 1^1 2^1 2^1 | SQUAREFREE
n=2 nu=3,2,3,2 N=14: deg 73 (homogeneous 73) a1:24 a2:25 a1-a2:21 | rest 3, deg gcd(R,R')=0, factors: 3^1 | SQUAREFREE
n=2 nu=3,3,-1,-1 N=8: deg 16 (homogeneous 16) a1:16 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,3,0,-1 N=9: deg 24 (homogeneous 24) a1:16 a2:4 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 3^1 | SQUAREFREE
n=2 nu=3,3,0,0 N=10: deg 33 (homogeneous 33) a1:17 a2:8 a1-a2:3 | rest 5, deg gcd(R,R')=0, factors: 5^1 | SQUAREFREE
n=2 nu=3,3,1,-1 N=10: deg 32 (homogeneous 32) a1:16 a2:8 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
